,CODE_INSEE,CODE_POSTAL,COMMUNE,DEPARTEMENT,CODE_DEPARTEMENT,SUPERFICIE_2016,POPULATION_2016,DENSITE_POP_2016,MAIRIE,ADRESSE_MAIRIE,TELEPHONE_MAIRIE,E_MAIL_MAIRIE,SITE_INTERNET_MAIRIE,INTERCOMMUNALITE,LATITUDE,LONGITUDE,COORD_GEO,PNR
0,4001,4510,Aiglun,ALPES-DE-HAUTE-PROVENCE,4,15,1412,97,Mairie d'Aiglun,Avenue des Docteurs-Paul-et-Marguerite-Jouve,492346237.0,mairie@commune-aiglun04.fr,http://commune-aiglun04.fr,CA Provence-Alpes-AgglomÃ©ration,44.050701141400005,6.14496994019,"(44.050701141400005, 6.14496994019)",
1,4004,4500,Allemagne-en-Provence,ALPES-DE-HAUTE-PROVENCE,4,33,529,16,Mairie d'Allemagne-en-Provence,Place de Verdun,492774310.0,mairie@allemagne04.com,,CA Durance-LubÃ©ron-Verdon AgglomÃ©ration,43.781101226800004,6.00784015656,"(43.781101226800004, 6.00784015656)",Parc naturel régional du Verdon
2,4005,4170,Allons,ALPES-DE-HAUTE-PROVENCE,4,42,149,4,Mairie d'Allons,Rue Amiral-de-Richery,492891073.0,mairie.allons@orange.fr,http://www.allons-alpes-haute-provence.fr,"CC Alpes-Provence-Verdon ""Sources de lumiÃ¨re""",43.97706604,6.5951461791999995,"(43.97706604, 6.5951461791999995)",Parc naturel régional du Verdon
3,4006,4260,Allos,ALPES-DE-HAUTE-PROVENCE,4,117,747,6,Mairie d'Allos,Le Village,492831800.0,accueil@mairie-allos.fr,http://www.mairie-allos.fr,"CC Alpes-Provence-Verdon ""Sources de lumiÃ¨re""",44.2407798767,6.628857135770001,"(44.2407798767, 6.628857135770001)",
4,4007,4170,Angles,ALPES-DE-HAUTE-PROVENCE,4,10,66,7,Mairie d'Angles,Le Village,492890854.0,mairie.angles0275@orange.fr,,"CC Alpes-Provence-Verdon ""Sources de lumiÃ¨re""",43.9420280457,6.55837583542,"(43.9420280457, 6.55837583542)",Parc naturel régional du Verdon
5,4008,4240,Annot,ALPES-DE-HAUTE-PROVENCE,4,30,1046,35,Mairie d'Annot,Grand place du MarchÃ©,492832209.0,info@annot.com,http://www.annot.com,"CC Alpes-Provence-Verdon ""Sources de lumiÃ¨re""",43.9670982361,6.6661901474,"(43.9670982361, 6.6661901474)",
6,4009,4420,Archail,ALPES-DE-HAUTE-PROVENCE,4,13,15,1,Mairie d'Archail,Le Village,492354146.0,,,CA Provence-Alpes-AgglomÃ©ration,44.121097999999996,6.3344699,"(44.121097999999996, 6.3344699)",
7,4012,4110,Aubenas-les-Alpes,ALPES-DE-HAUTE-PROVENCE,4,8,101,13,Mairie d'Aubenas-les-Alpes,Le Village,492766164.0,mairie-aubenaslesalpes@wanadoo.fr,,CC Haute-Provence-Pays de Banon,43.9305992126,5.68175983429,"(43.9305992126, 5.68175983429)",Parc naturel régional du Luberon
8,4013,4200,Aubignosc,ALPES-DE-HAUTE-PROVENCE,4,15,586,39,Mairie d'Aubignosc,Le Village,492624194.0,mairie.aubignosc@wanadoo.fr,http://www.aubignosc04.fr,CC Jabron-Lure-VanÃ§on-Durance,44.1298446655,5.96958303452,"(44.1298446655, 5.96958303452)",
9,4016,4200,Authon,ALPES-DE-HAUTE-PROVENCE,4,40,57,1,Mairie d'Authon,Le Village,492614247.0,mairie-authon@orange.fr,,CC du Sisteronais-BuÃ«ch,44.2382469177,6.1270260810899995,"(44.2382469177, 6.1270260810899995)",
